Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000008883.1, ENSGALG00000008883.2, 36, 0
ENSGALG00000008883.2, ENSGALG00000008883.3, 42, 0.877127
ENSGALG00000008883.3, ENSGALG00000008883.3, 45, 1
ENSGALG00000008883.3, ENSGALG00000008883.3, 51, 1
ENSGALG00000008883.3, ENSGALG00000008883.3, 53, 1
ENSGALG00000008883.3, ENSGALG00000008883.4, 71, 0.412107
ENSGALG00000008883.4, ENSGALG00000008883.5, 86, 0.503758
ENSGALG00000008883.5, ENSGALG00000008883.6, 87, 0.811253
ENSGALG00000008883.6, ENSGALG00000008883.7, 95, 0.803565
ENSGALG00000008883.7, ENSGALG00000008883.8, 104, 0.843613

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000005689.1, ENSGALG00000005689.2, 36, 0
ENSGALG00000005689.2, ENSGALG00000005689.3, 42, 0.453474
ENSGALG00000005689.3, ENSGALG00000005689.3, 45, 1
ENSGALG00000005689.3, ENSGALG00000005689.3, 51, 1
ENSGALG00000005689.3, ENSGALG00000005689.3, 53, 1
ENSGALG00000005689.3, ENSGALG00000005689.4, 71, 0.572538
ENSGALG00000005689.4, ENSGALG00000005689.5, 86, 0.69495
ENSGALG00000005689.5, ENSGALG00000005689.6, 95, 0.909351
ENSGALG00000005689.6, ENSGALG00000005689.7, 104, 0.429407

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000007762.1, ENSGALG00000007762.2, 36, 0
ENSGALG00000007762.2, ENSGALG00000007762.3, 42, 0.529806
ENSGALG00000007762.3, ENSGALG00000007762.3, 45, 1
ENSGALG00000007762.3, ENSGALG00000007762.3, 51, 1
ENSGALG00000007762.3, ENSGALG00000007762.3, 53, 1
ENSGALG00000007762.3, ENSGALG00000007762.4, 71, 0.988816
ENSGALG00000007762.4, ENSGALG00000007762.5, 86, 0.830892
ENSGALG00000007762.5, ENSGALG00000007762.6, 95, 0.695626
ENSGALG00000007762.6, ENSGALG00000007762.7, 104, 0.975698

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000007570.1, ENSGALG00000007570.2, 36, 0
ENSGALG00000007570.2, ENSGALG00000007570.2, 42, 1
ENSGALG00000007570.2, ENSGALG00000007570.2, 45, 1
ENSGALG00000007570.2, ENSGALG00000007570.2, 51, 1
ENSGALG00000007570.2, ENSGALG00000007570.2, 53, 1
ENSGALG00000007570.2, ENSGALG00000007570.3, 71, 0.335211
ENSGALG00000007570.3, ENSGALG00000007570.4, 86, 0.606412
ENSGALG00000007570.4, ENSGALG00000007570.5, 87, 0.952688
ENSGALG00000007570.5, ENSGALG00000007570.6, 95, 0.721363
ENSGALG00000007570.6, ENSGALG00000007570.7, 104, 0.334725

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000008167.1, ENSGALG00000008167.2, 36, 0
ENSGALG00000008167.2, ENSGALG00000008167.3, 42, 0.596803
ENSGALG00000008167.3, ENSGALG00000008167.3, 45, 1
ENSGALG00000008167.3, ENSGALG00000008167.3, 51, 1
ENSGALG00000008167.3, ENSGALG00000008167.3, 53, 1
ENSGALG00000008167.3, ENSGALG00000008167.4, 71, 0.907323
ENSGALG00000008167.4, ENSGALG00000008167.5, 86, 0.761162
ENSGALG00000008167.5, ENSGALG00000008167.6, 95, 0.717872
ENSGALG00000008167.6, ENSGALG00000008167.7, 104, 0.865578

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000014554.1, ENSGALG00000014554.2, 36, 0
ENSGALG00000014554.2, ENSGALG00000014554.3, 42, 0.558598
ENSGALG00000014554.3, ENSGALG00000014554.3, 45, 1
ENSGALG00000014554.3, ENSGALG00000014554.3, 51, 1
ENSGALG00000014554.3, ENSGALG00000014554.3, 53, 1
ENSGALG00000014554.3, ENSGALG00000014554.4, 71, 0.960576
ENSGALG00000014554.4, ENSGALG00000014554.5, 86, 0.819201
ENSGALG00000014554.5, ENSGALG00000014554.6, 87, 0.868284
ENSGALG00000014554.6, ENSGALG00000014554.7, 95, 0.465589
ENSGALG00000014554.7, ENSGALG00000014554.8, 104, 0.358237

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000016053.1, ENSGALG00000016053.2, 36, 0
ENSGALG00000016053.2, ENSGALG00000016053.2, 42, 1
ENSGALG00000016053.2, ENSGALG00000016053.2, 45, 1
ENSGALG00000016053.2, ENSGALG00000016053.2, 51, 1
ENSGALG00000016053.2, ENSGALG00000016053.2, 53, 1
ENSGALG00000016053.2, ENSGALG00000016053.3, 86, 0.995826
ENSGALG00000016053.3, ENSGALG00000016053.4, 95, 0.809862
ENSGALG00000016053.4, ENSGALG00000016053.5, 104, 0.713043

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000008249.1, ENSGALG00000008249.2, 36, 0
ENSGALG00000008249.2, ENSGALG00000008249.3, 42, 0.895876
ENSGALG00000008249.3, ENSGALG00000008249.3, 45, 1
ENSGALG00000008249.3, ENSGALG00000008249.3, 51, 1
ENSGALG00000008249.3, ENSGALG00000008249.3, 53, 1
ENSGALG00000008249.3, ENSGALG00000008249.4, 71, 0.977474
ENSGALG00000008249.4, ENSGALG00000008249.5, 95, 0.99
ENSGALG00000008249.5, ENSGALG00000008249.6, 104, 0.956396

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000014329.1, ENSGALG00000014329.2, 36, 0
ENSGALG00000014329.2, ENSGALG00000014329.3, 42, 0.772645
ENSGALG00000014329.3, ENSGALG00000014329.3, 45, 1
ENSGALG00000014329.3, ENSGALG00000014329.3, 51, 1
ENSGALG00000014329.3, ENSGALG00000014329.3, 53, 1
ENSGALG00000014329.3, ENSGALG00000014329.4, 71, 0.458675
ENSGALG00000014329.4, ENSGALG00000014329.5, 86, 0.719733
ENSGALG00000014329.5, ENSGALG00000014329.6, 95, 0.811169
ENSGALG00000014329.6, ENSGALG00000014329.7, 104, 0.736513

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000014459.1, ENSGALG00000014459.2, 36, 0
ENSGALG00000014459.2, ENSGALG00000014459.3, 42, 0.877763
ENSGALG00000014459.3, ENSGALG00000014459.3, 45, 1
ENSGALG00000014459.3, ENSGALG00000014459.3, 51, 1
ENSGALG00000014459.3, ENSGALG00000014459.3, 53, 1
ENSGALG00000014459.3, ENSGALG00000014459.4, 71, 1
ENSGALG00000014459.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000002471.1, ENSGALG00000002471.2, 36, 0
ENSGALG00000002471.2, ENSGALG00000002471.3, 42, 0.547092
ENSGALG00000002471.3, ENSGALG00000002471.3, 45, 1
ENSGALG00000002471.3, ENSGALG00000002471.3, 51, 1
ENSGALG00000002471.3, ENSGALG00000002471.3, 53, 1
ENSGALG00000002471.3, ENSGALG00000002471.4, 71, 0.551361
ENSGALG00000002471.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000000713.1, ENSGALG00000000713.2, 36, 0
ENSGALG00000000713.2, ENSGALG00000000713.3, 42, 0.532185
ENSGALG00000000713.3, ENSGALG00000000713.3, 45, 1
ENSGALG00000000713.3, ENSGALG00000000713.3, 51, 1
ENSGALG00000000713.3, ENSGALG00000000713.3, 53, 1
ENSGALG00000000713.3, ENSGALG00000000713.4, 71, 0.855961
ENSGALG00000000713.4, ENSGALG00000000713.5, 86, 0.924214
ENSGALG00000000713.5, ENSGALG00000000713.6, 87, 0.999924
ENSGALG00000000713.6, ENSGALG00000000713.7, 95, 0.971732
ENSGALG00000000713.7, ENSGALG00000000713.8, 104, 0.854818

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000023738.1, ENSGALG00000023738.1, 45, 1
ENSGALG00000023738.1, ENSGALG00000023738.1, 51, 1
ENSGALG00000023738.1, ENSGALG00000023738.1, 53, 1
ENSGALG00000023738.1, ENSGALG00000023738.2, 71, 0.556097
ENSGALG00000023738.2, ENSGALG00000023738.3, 86, 0.426158
ENSGALG00000023738.3, <retired>, 95, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000003588.1, ENSGALG00000003588.2, 36, 0
ENSGALG00000003588.2, ENSGALG00000003588.3, 42, 0.370975
ENSGALG00000003588.3, ENSGALG00000003588.3, 45, 1
ENSGALG00000003588.3, ENSGALG00000003588.3, 51, 1
ENSGALG00000003588.3, ENSGALG00000003588.3, 53, 1
ENSGALG00000003588.3, ENSGALG00000003588.4, 71, 0.613889
ENSGALG00000003588.4, ENSGALG00000003588.5, 86, 0.350085
ENSGALG00000003588.5, ENSGALG00000003588.6, 95, 0.419785
ENSGALG00000003588.6, ENSGALG00000003588.7, 104, 0.25591

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000002626.1, ENSGALG00000002626.2, 36, 0
ENSGALG00000002626.2, ENSGALG00000002626.3, 42, 0.866967
ENSGALG00000002626.3, ENSGALG00000002626.3, 45, 1
ENSGALG00000002626.3, ENSGALG00000002626.3, 51, 1
ENSGALG00000002626.3, ENSGALG00000002626.3, 53, 1
ENSGALG00000002626.3, ENSGALG00000002626.4, 71, 0.962011
ENSGALG00000002626.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000005230.1, ENSGALG00000005230.2, 36, 0
ENSGALG00000005230.2, ENSGALG00000005230.3, 42, 0.948493
ENSGALG00000005230.3, ENSGALG00000005230.3, 45, 1
ENSGALG00000005230.3, ENSGALG00000005230.3, 51, 1
ENSGALG00000005230.3, ENSGALG00000005230.3, 53, 1
ENSGALG00000005230.3, ENSGALG00000005230.4, 71, 0.986068
ENSGALG00000005230.4, ENSGALG00000005230.5, 86, 0.975713
ENSGALG00000005230.5, ENSGALG00000005230.6, 95, 0.99
ENSGALG00000005230.6, ENSGALG00000005230.7, 104, 0.912094

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000013193.1, ENSGALG00000013193.2, 36, 0
ENSGALG00000013193.2, ENSGALG00000013193.3, 42, 0.345934
ENSGALG00000013193.3, ENSGALG00000013193.3, 45, 1
ENSGALG00000013193.3, ENSGALG00000013193.3, 51, 1
ENSGALG00000013193.3, ENSGALG00000013193.3, 53, 1
ENSGALG00000013193.3, ENSGALG00000013193.4, 71, 0.410994
ENSGALG00000013193.4, ENSGALG00000013193.5, 86, 0.553951
ENSGALG00000013193.5, ENSGALG00000013193.6, 95, 0.963535
ENSGALG00000013193.6, ENSGALG00000013193.7, 104, 0.77892

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000013681.1, ENSGALG00000013681.2, 36, 0
ENSGALG00000013681.2, ENSGALG00000013681.3, 42, 0.755143
ENSGALG00000013681.3, ENSGALG00000013681.3, 45, 1
ENSGALG00000013681.3, ENSGALG00000013681.3, 51, 1
ENSGALG00000013681.3, ENSGALG00000013681.3, 53, 1
ENSGALG00000013681.3, ENSGALG00000013681.4, 71, 0.490604
ENSGALG00000013681.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000000316.1, ENSGALG00000000316.1, 36, 1
ENSGALG00000000316.1, ENSGALG00000000316.2, 42, 0.660214
ENSGALG00000000316.2, ENSGALG00000000316.2, 45, 1
ENSGALG00000000316.2, ENSGALG00000000316.2, 51, 1
ENSGALG00000000316.2, ENSGALG00000000316.2, 53, 1
ENSGALG00000000316.2, ENSGALG00000000316.3, 71, 0.982316
ENSGALG00000000316.3, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000008611.1, ENSGALG00000008611.2, 36, 0
ENSGALG00000008611.2, ENSGALG00000008611.3, 42, 0.439321
ENSGALG00000008611.3, ENSGALG00000008611.3, 45, 1
ENSGALG00000008611.3, ENSGALG00000008611.3, 51, 1
ENSGALG00000008611.3, ENSGALG00000008611.3, 53, 1
ENSGALG00000008611.3, ENSGALG00000008611.4, 86, 0.757672
ENSGALG00000008611.4, ENSGALG00000008611.5, 95, 0.934609
ENSGALG00000008611.5, ENSGALG00000008611.6, 104, 0.795846

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000017389.1, ENSGALG00000017389.2, 36, 0
ENSGALG00000017389.2, ENSGALG00000017389.3, 42, 0.269317
ENSGALG00000017389.3, ENSGALG00000017389.3, 45, 1
ENSGALG00000017389.3, ENSGALG00000017389.3, 51, 1
ENSGALG00000017389.3, ENSGALG00000017389.3, 53, 1
ENSGALG00000017389.3, ENSGALG00000017389.4, 71, 0.389694
ENSGALG00000017389.4, ENSGALG00000017389.5, 86, 0.848942
ENSGALG00000017389.5, ENSGALG00000017389.6, 95, 0.891309
ENSGALG00000017389.6, ENSGALG00000017389.7, 104, 0.795292

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000007769.1, ENSGALG00000007769.1, 36, 1
ENSGALG00000007769.1, ENSGALG00000007769.2, 42, 0.662816
ENSGALG00000007769.2, ENSGALG00000007769.2, 45, 1
ENSGALG00000007769.2, ENSGALG00000007769.3, 51, 0.991376
ENSGALG00000007769.3, ENSGALG00000007769.3, 53, 1
ENSGALG00000007769.3, ENSGALG00000007769.4, 71, 0.891363
ENSGALG00000007769.4, ENSGALG00000007769.5, 86, 0.907716
ENSGALG00000007769.5, ENSGALG00000007769.6, 95, 0.97278
ENSGALG00000007769.6, ENSGALG00000007769.7, 104, 0.549862

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000011682.1, ENSGALG00000011682.2, 36, 0
ENSGALG00000011682.2, ENSGALG00000011682.3, 42, 0.645129
ENSGALG00000011682.3, ENSGALG00000011682.3, 45, 1
ENSGALG00000011682.3, ENSGALG00000011682.3, 51, 1
ENSGALG00000011682.3, ENSGALG00000011682.3, 53, 1
ENSGALG00000011682.3, ENSGALG00000011682.4, 71, 0.991427
ENSGALG00000011682.4, ENSGALG00000011682.5, 95, 0.847412
ENSGALG00000011682.5, ENSGALG00000011682.6, 104, 0.846541

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000007870.1, ENSGALG00000007870.2, 36, 0
ENSGALG00000007870.2, ENSGALG00000007870.3, 42, 0.771756
ENSGALG00000007870.3, ENSGALG00000007870.3, 45, 1
ENSGALG00000007870.3, ENSGALG00000007870.3, 51, 1
ENSGALG00000007870.3, ENSGALG00000007870.3, 53, 1
ENSGALG00000007870.3, ENSGALG00000007870.4, 71, 0.397368
ENSGALG00000007870.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000007970.1, ENSGALG00000007970.2, 36, 0
ENSGALG00000007970.2, ENSGALG00000007970.3, 42, 0.854168
ENSGALG00000007970.3, ENSGALG00000007970.3, 45, 1
ENSGALG00000007970.3, ENSGALG00000007970.3, 51, 1
ENSGALG00000007970.3, ENSGALG00000007970.3, 53, 1
ENSGALG00000007970.3, ENSGALG00000007970.4, 71, 0.923154
ENSGALG00000007970.4, ENSGALG00000007970.5, 86, 0.946186
ENSGALG00000007970.5, ENSGALG00000007970.6, 95, 0.951937
ENSGALG00000007970.6, ENSGALG00000007970.7, 104, 0.681125

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000003737.1, ENSGALG00000003737.2, 36, 0
ENSGALG00000003737.2, ENSGALG00000003737.3, 42, 0.408206
ENSGALG00000003737.3, ENSGALG00000003737.3, 45, 1
ENSGALG00000003737.3, ENSGALG00000003737.3, 51, 1
ENSGALG00000003737.3, ENSGALG00000003737.3, 53, 1
ENSGALG00000003737.3, ENSGALG00000003737.4, 71, 0.553581
ENSGALG00000003737.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000000671.1, ENSGALG00000000671.2, 36, 0
ENSGALG00000000671.2, ENSGALG00000000671.3, 42, 0.683132
ENSGALG00000000671.3, ENSGALG00000000671.3, 45, 1
ENSGALG00000000671.3, ENSGALG00000000671.3, 51, 1
ENSGALG00000000671.3, ENSGALG00000000671.3, 53, 1
ENSGALG00000000671.3, ENSGALG00000000671.4, 71, 0.889278
ENSGALG00000000671.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000002886.1, ENSGALG00000002886.2, 36, 0
ENSGALG00000002886.2, ENSGALG00000002886.3, 42, 0.526159
ENSGALG00000002886.3, ENSGALG00000002886.3, 45, 1
ENSGALG00000002886.3, ENSGALG00000002886.3, 51, 1
ENSGALG00000002886.3, ENSGALG00000002886.3, 53, 1
ENSGALG00000002886.3, ENSGALG00000002886.4, 95, 0.99
ENSGALG00000002886.4, ENSGALG00000002886.5, 104, 0.58236

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000003120.1, ENSGALG00000003120.2, 36, 0
ENSGALG00000003120.2, ENSGALG00000003120.3, 42, 0.834165
ENSGALG00000003120.3, ENSGALG00000003120.3, 45, 1
ENSGALG00000003120.3, ENSGALG00000003120.4, 51, 0.45653
ENSGALG00000003120.4, ENSGALG00000003120.4, 53, 1
ENSGALG00000003120.4, ENSGALG00000003120.5, 71, 0.420391
ENSGALG00000003120.5, ENSGALG00000003120.6, 86, 0.706258
ENSGALG00000003120.6, ENSGALG00000003120.7, 87, 0.731251
ENSGALG00000003120.7, ENSGALG00000003120.8, 95, 0.903091
ENSGALG00000003120.8, ENSGALG00000003120.9, 104, 0.934315

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000004397.1, ENSGALG00000004397.2, 36, 0
ENSGALG00000004397.2, ENSGALG00000004397.3, 42, 0.597371
ENSGALG00000004397.3, ENSGALG00000004397.3, 45, 1
ENSGALG00000004397.3, ENSGALG00000004397.3, 51, 1
ENSGALG00000004397.3, ENSGALG00000004397.3, 53, 1
ENSGALG00000004397.3, ENSGALG00000004397.4, 71, 0.901382
ENSGALG00000004397.4, ENSGALG00000004397.5, 86, 0.870456
ENSGALG00000004397.5, ENSGALG00000004397.6, 87, 0.924035
ENSGALG00000004397.6, ENSGALG00000004397.7, 95, 0.852092
ENSGALG00000004397.7, ENSGALG00000004397.8, 104, 0.812508

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000000972.1, ENSGALG00000000972.2, 36, 0
ENSGALG00000000972.2, ENSGALG00000000972.3, 42, 0.579792
ENSGALG00000000972.3, ENSGALG00000000972.3, 45, 1
ENSGALG00000000972.3, ENSGALG00000000972.3, 51, 1
ENSGALG00000000972.3, ENSGALG00000000972.3, 53, 1
ENSGALG00000000972.3, ENSGALG00000000972.4, 71, 0.493693
ENSGALG00000000972.4, ENSGALG00000000972.5, 86, 0.69636
ENSGALG00000000972.5, ENSGALG00000000972.6, 87, 0.970315
ENSGALG00000000972.6, ENSGALG00000000972.7, 95, 0.944777
ENSGALG00000000972.7, ENSGALG00000000972.8, 104, 0.815709

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000023407.1, ENSGALG00000023407.1, 45, 1
ENSGALG00000023407.1, ENSGALG00000023407.1, 51, 1
ENSGALG00000023407.1, ENSGALG00000023407.1, 53, 1
ENSGALG00000023407.1, ENSGALG00000023407.2, 71, 1
ENSGALG00000023407.2, ENSGALG00000023407.3, 95, 0.99
ENSGALG00000023407.3, ENSGALG00000023407.4, 104, 0.595394

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000008886.1, ENSGALG00000008886.2, 36, 0
ENSGALG00000008886.2, ENSGALG00000008886.3, 42, 0.980957
ENSGALG00000008886.3, ENSGALG00000008886.3, 45, 1
ENSGALG00000008886.3, ENSGALG00000008886.3, 51, 1
ENSGALG00000008886.3, ENSGALG00000008886.3, 53, 1
ENSGALG00000008886.3, ENSGALG00000008886.4, 71, 0.879732
ENSGALG00000008886.4, ENSGALG00000008886.5, 86, 0.881017
ENSGALG00000008886.5, ENSGALG00000008886.6, 95, 0.940094
ENSGALG00000008886.6, ENSGALG00000008886.7, 104, 0.846083

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000004386.1, ENSGALG00000004386.1, 36, 1
ENSGALG00000004386.1, ENSGALG00000004386.2, 42, 0.58798
ENSGALG00000004386.2, ENSGALG00000004386.2, 45, 1
ENSGALG00000004386.2, ENSGALG00000004386.2, 51, 1
ENSGALG00000004386.2, ENSGALG00000004386.2, 53, 1
ENSGALG00000004386.2, ENSGALG00000004386.3, 71, 0.271989
ENSGALG00000004386.3, ENSGALG00000004386.4, 86, 0.720626
ENSGALG00000004386.4, ENSGALG00000004386.5, 87, 0.943974
ENSGALG00000004386.5, ENSGALG00000004386.6, 95, 0.922235
ENSGALG00000004386.6, ENSGALG00000004386.7, 104, 0.365901

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000005530.1, ENSGALG00000005530.2, 36, 0
ENSGALG00000005530.2, ENSGALG00000005530.3, 42, 0.60688
ENSGALG00000005530.3, ENSGALG00000005530.3, 45, 1
ENSGALG00000005530.3, ENSGALG00000005530.4, 51, 0.975619
ENSGALG00000005530.4, ENSGALG00000005530.5, 53, 0.998841
ENSGALG00000005530.5, ENSGALG00000005530.6, 71, 0.920491
ENSGALG00000005530.6, ENSGALG00000005530.7, 86, 0.831215
ENSGALG00000005530.7, ENSGALG00000005530.8, 95, 0.86889
ENSGALG00000005530.8, ENSGALG00000005530.9, 104, 0.383218

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000011053.1, ENSGALG00000011053.2, 36, 0
ENSGALG00000011053.2, ENSGALG00000011053.3, 42, 0.428827
ENSGALG00000011053.3, ENSGALG00000011053.3, 45, 1
ENSGALG00000011053.3, ENSGALG00000011053.3, 51, 1
ENSGALG00000011053.3, ENSGALG00000011053.3, 53, 1
ENSGALG00000011053.3, ENSGALG00000011053.4, 71, 0.40133
ENSGALG00000011053.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000015607.1, ENSGALG00000015607.2, 36, 0
ENSGALG00000015607.2, ENSGALG00000015607.3, 42, 0.683051
ENSGALG00000015607.3, ENSGALG00000015607.3, 45, 1
ENSGALG00000015607.3, ENSGALG00000015607.3, 51, 1
ENSGALG00000015607.3, ENSGALG00000015607.3, 53, 1
ENSGALG00000015607.3, ENSGALG00000015607.4, 71, 0.971448
ENSGALG00000015607.4, <retired>, 86, 0

Old stable ID, New stable ID, Release, Mapping score
ENSGALG00000006013.1, ENSGALG00000006013.2, 36, 0
ENSGALG00000006013.2, ENSGALG00000006013.3, 42, 0.134705
ENSGALG00000006013.3, ENSGALG00000006013.3, 45, 1
